,unique_carrier,tdomt_gallons,passengers,dep_delay_summed_monthly_mean,distance_summed_monthly_mean
0,AA,10057152512.0,715203891,122.9225590003935,2875349237
1,AS,2628730608.0,145210038,43.97053054273364,838413866
2,B6,3034502966.0,198872059,200.77297275423527,656120291
3,DL,9506875545.0,742511388,112.08796789728966,2435523712
4,F9,1034764543.0,87767317,201.98236824057045,263828340
5,G4,846857070.0,62125688,133.0488040865545,176313111
6,HA,834217120.0,55780580,18.974288155770665,120940267
7,NK,1510093173.0,127529568,123.37464234682439,383895843
8,UA,7618815658.0,533886775,153.8180581712995,2432847105
9,VX,563005513.0,25617180,18.23533481285865,25864306
10,WN,9504556884.0,803499970,127.60339759548721,2022776676
